hour,iaqi_value
0,38.9721406292517
1,45.12000840136054
2,46.025881099773244
3,45.9788526814059
4,46.08205188775511
5,39.48425880385488
6,38.819405595238095
7,30.711066235827666
8,31.245960306122452
9,28.713363151927435
10,34.225148786848074
11,37.16507552154195
12,40.26225091836735
13,40.71804658163265
14,37.29883034580499
15,33.74328264172336
16,27.55937507936508
17,24.959553106575964
18,19.479430770975057
19,19.49792475623583
20,19.642072176870748
21,22.27521523809524
22,17.122887879818595
23,25.688826485260773
